year.index,mean,sd,X2.5.,X97.5.,Rhat,n.eff,year,Source,Region
1,0.395145423,0.082308245,0.246047083,0.562608361,1.00082233,4500,2003,anti-logit Year eff,Africa
2,0.406160344,0.079344127,0.260308085,0.568899888,1.00120994,3700,2004,anti-logit Year eff,Africa
3,0.351413166,0.079298926,0.210633872,0.516940204,1.003384063,740,2005,anti-logit Year eff,Africa
4,0.391047255,0.086628479,0.234390361,0.57362354,1.000747083,4500,2006,anti-logit Year eff,Africa
5,0.425190839,0.087199085,0.262910123,0.604330769,1.001720415,1900,2007,anti-logit Year eff,Africa
6,0.562784454,0.083552413,0.395113528,0.716917781,1.001373572,2800,2008,anti-logit Year eff,Africa
7,0.536783287,0.080620533,0.378518052,0.690054036,1.00166879,2000,2009,anti-logit Year eff,Africa
8,0.52128161,0.082057741,0.359553039,0.679588007,1.001531412,2300,2010,anti-logit Year eff,Africa
9,0.757975833,0.060273476,0.626612973,0.860262874,1.000858952,4500,2011,anti-logit Year eff,Africa
10,0.729058299,0.063319625,0.59600048,0.840724266,1.001694736,1900,2012,anti-logit Year eff,Africa
11,0.64254312,0.073987876,0.486418575,0.7784507,1.000686749,4500,2013,anti-logit Year eff,Africa
12,0.729285106,0.065992301,0.586642804,0.843274003,1.001178531,3900,2014,anti-logit Year eff,Africa
13,0.699820787,0.067610051,0.559059939,0.82043538,1.001157286,4100,2015,anti-logit Year eff,Africa
14,0.683509484,0.071806965,0.533802199,0.81209527,1.005653785,400,2016,anti-logit Year eff,Africa
15,0.604320226,0.075966892,0.44954287,0.744244323,1.000944864,4500,2017,anti-logit Year eff,Africa
16,0.53996974,0.076287555,0.388040274,0.685445599,1.003826919,630,2018,anti-logit Year eff,Africa
17,0.347316496,0.071294054,0.217051112,0.498243404,1.001755033,1800,2019,anti-logit Year eff,Africa
18,0.254293477,0.061756921,0.149493914,0.390215085,1.001713654,1900,2020,anti-logit Year eff,Africa
19,0.331342172,0.07552245,0.195472158,0.487481986,1.001960923,1500,2021,anti-logit Year eff,Africa
1,0.429407899,0.034728567,0.361203958,0.497115839,1.001545245,2300,2003,MM.p.uw,Africa
2,0.451717483,0.03123198,0.39221591,0.513678379,1.001073608,4500,2004,MM.p.uw,Africa
3,0.411329578,0.03451984,0.34340326,0.478221302,1.002051367,1400,2005,MM.p.uw,Africa
4,0.441765253,0.038961595,0.364480372,0.517194106,1.000947576,4500,2006,MM.p.uw,Africa
5,0.450497905,0.037478161,0.378152186,0.523717308,1.003035832,850,2007,MM.p.uw,Africa
6,0.545530788,0.032282178,0.483705515,0.608056049,1.002167284,1300,2008,MM.p.uw,Africa
