year.index,mean,sd,X2.5.,X97.5.,Rhat,n.eff,year,Source,Region
1,0.08856507,0.075689065,0.010539147,0.293681331,1.001188967,3800,2003,anti-logit Year eff,Asia
2,0.092175353,0.063711793,0.016342856,0.258619632,1.000719356,4500,2004,anti-logit Year eff,Asia
3,0.275539799,0.119365114,0.089343686,0.542187888,1.003535553,700,2005,anti-logit Year eff,Asia
4,0.217402797,0.090698562,0.077728406,0.429037262,1.001147349,4100,2006,anti-logit Year eff,Asia
5,0.163373521,0.076527528,0.04963236,0.34813377,1.000983164,4500,2007,anti-logit Year eff,Asia
6,0.215473083,0.088802452,0.079434613,0.417910954,1.003113217,820,2008,anti-logit Year eff,Asia
7,0.235445878,0.088209133,0.094094243,0.433814355,1.001803084,1800,2009,anti-logit Year eff,Asia
8,0.329424718,0.104072354,0.154781929,0.551607353,1.001276979,3300,2010,anti-logit Year eff,Asia
9,0.150051553,0.065107989,0.053335988,0.301874154,1.002996872,860,2011,anti-logit Year eff,Asia
10,0.180049427,0.075167814,0.066425958,0.353431591,1.002458559,1100,2012,anti-logit Year eff,Asia
11,0.183156101,0.072453526,0.070665573,0.352288282,1.000857139,4500,2013,anti-logit Year eff,Asia
12,0.262798949,0.101059391,0.100740609,0.485323022,1.000877356,4500,2014,anti-logit Year eff,Asia
13,0.395776972,0.115474732,0.189059463,0.628843733,1.000861413,4500,2015,anti-logit Year eff,Asia
14,0.250249906,0.088101635,0.108479498,0.447426908,1.001182886,4300,2016,anti-logit Year eff,Asia
15,0.341074631,0.105503197,0.1571535,0.5623806,1.00073604,4500,2017,anti-logit Year eff,Asia
16,0.314699188,0.09740788,0.148432146,0.52085041,1.002956453,880,2018,anti-logit Year eff,Asia
17,0.263059024,0.089677019,0.116934879,0.462243868,1.000975162,4500,2019,anti-logit Year eff,Asia
18,0.296996953,0.096921089,0.132808164,0.510925411,1.000945811,4500,2020,anti-logit Year eff,Asia
19,0.269930307,0.10118705,0.106179197,0.493499175,1.001977603,1500,2021,anti-logit Year eff,Asia
1,0.163031989,0.072707852,0.048694438,0.329399457,1.000845671,4500,2003,MM.p.uw,Asia
2,0.169350964,0.063568585,0.061113789,0.309104144,1.000836271,4500,2004,MM.p.uw,Asia
3,0.335817805,0.074531035,0.194530574,0.488421393,1.004207236,570,2005,MM.p.uw,Asia
4,0.292824719,0.057247197,0.18666488,0.406927673,1.001714717,1900,2006,MM.p.uw,Asia
5,0.257590979,0.054656459,0.155743543,0.368914667,1.000913442,4500,2007,MM.p.uw,Asia
6,0.292574156,0.054708506,0.190664016,0.405102116,1.005077218,460,2008,MM.p.uw,Asia
7,0.316309568,0.049956564,0.221065986,0.417393297,1.001825691,1700,2009,MM.p.uw,Asia
8,0.376507165,0.053675958,0.27532477,0.483692229,1.00281265,930,2010,MM.p.uw,Asia
9,0.232971392,0.045760215,0.149901054,0.327998172,1.003244799,780,2011,MM.p.uw,Asia
10,0.264344636,0.048368683,0.175134058,0.366921252,1.002379524,1200,2012,MM.p.uw,Asia
11,0.26923072,0.045511385,0.184296093,0.364716304,1.00093851,4500,2013,MM.p.uw,Asia
12,0.32522501,0.058364391,0.214484759,0.443840493,1.001304618,3100,2014,MM.p.uw,Asia
13,0.42143555,0.058024994,0.307691573,0.538811711,1.000944896,4500,2015,MM.p.uw,Asia
14,0.308681727,0.046198496,0.22123864,0.402454759,1.001096115,4500,2016,MM.p.uw,Asia
15,0.389016204,0.049985491,0.294117174,0.487292909,1.001083479,4500,2017,MM.p.uw,Asia
16,0.367199998,0.046141025,0.276969338,0.461105094,1.004827858,480,2018,MM.p.uw,Asia
17,0.327473304,0.04727049,0.236236569,0.420808308,1.001154058,4100,2019,MM.p.uw,Asia
18,0.350351319,0.048994798,0.255998106,0.450368489,1.001342379,3000,2020,MM.p.uw,Asia
19,0.335345781,0.056610831,0.226770199,0.453561869,1.003230879,780,2021,MM.p.uw,Asia
1,0.163031989,0.072707852,0.048694438,0.329399457,1.000845671,4500,2003,MM.p.w,Asia
2,0.169350964,0.063568585,0.061113789,0.309104144,1.000836271,4500,2004,MM.p.w,Asia
3,0.335817805,0.074531035,0.194530574,0.488421393,1.004207236,570,2005,MM.p.w,Asia
4,0.292824719,0.057247197,0.18666488,0.406927673,1.001714717,1900,2006,MM.p.w,Asia
5,0.257590979,0.054656459,0.155743543,0.368914667,1.000913442,4500,2007,MM.p.w,Asia
6,0.292574156,0.054708506,0.190664016,0.405102116,1.005077218,460,2008,MM.p.w,Asia
7,0.316309568,0.049956564,0.221065986,0.417393297,1.001825691,1700,2009,MM.p.w,Asia
8,0.376507165,0.053675958,0.27532477,0.483692229,1.00281265,930,2010,MM.p.w,Asia
9,0.232971392,0.045760215,0.149901054,0.327998172,1.003244799,780,2011,MM.p.w,Asia
10,0.264344636,0.048368683,0.175134058,0.366921252,1.002379524,1200,2012,MM.p.w,Asia
11,0.26923072,0.045511385,0.184296093,0.364716304,1.00093851,4500,2013,MM.p.w,Asia
12,0.32522501,0.058364391,0.214484759,0.443840493,1.001304618,3100,2014,MM.p.w,Asia
13,0.42143555,0.058024994,0.307691573,0.538811711,1.000944896,4500,2015,MM.p.w,Asia
14,0.308681727,0.046198496,0.22123864,0.402454759,1.001096115,4500,2016,MM.p.w,Asia
15,0.389016204,0.049985491,0.294117174,0.487292909,1.001083479,4500,2017,MM.p.w,Asia
16,0.367199998,0.046141025,0.276969338,0.461105094,1.004827858,480,2018,MM.p.w,Asia
17,0.327473304,0.04727049,0.236236569,0.420808308,1.001154058,4100,2019,MM.p.w,Asia
18,0.350351319,0.048994798,0.255998106,0.450368489,1.001342379,3000,2020,MM.p.w,Asia
19,0.335345781,0.056610831,0.226770199,0.453561869,1.003230879,780,2021,MM.p.w,Asia
1,0.2,NA,NA,NA,NA,NA,2003,Observed,Asia
2,0.102040816,NA,NA,NA,NA,NA,2004,Observed,Asia
3,0.173333333,NA,NA,NA,NA,NA,2005,Observed,Asia
4,0.130434783,NA,NA,NA,NA,NA,2006,Observed,Asia
5,0.125984252,NA,NA,NA,NA,NA,2007,Observed,Asia
6,0.179166667,NA,NA,NA,NA,NA,2008,Observed,Asia
7,0.183520599,NA,NA,NA,NA,NA,2009,Observed,Asia
8,0.209677419,NA,NA,NA,NA,NA,2010,Observed,Asia
9,0.137795276,NA,NA,NA,NA,NA,2011,Observed,Asia
10,0.108938547,NA,NA,NA,NA,NA,2012,Observed,Asia
11,0.094339623,NA,NA,NA,NA,NA,2013,Observed,Asia
12,0.12371134,NA,NA,NA,NA,NA,2014,Observed,Asia
13,0.203539823,NA,NA,NA,NA,NA,2015,Observed,Asia
14,0.208888889,NA,NA,NA,NA,NA,2016,Observed,Asia
15,0.169550173,NA,NA,NA,NA,NA,2017,Observed,Asia
16,0.153310105,NA,NA,NA,NA,NA,2018,Observed,Asia
17,0.125786164,NA,NA,NA,NA,NA,2019,Observed,Asia
18,0.185714286,NA,NA,NA,NA,NA,2020,Observed,Asia
19,0.120689655,NA,NA,NA,NA,NA,2021,Observed,Asia
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,0.353877321,,,,,,,,
